property_id,title,monthly_int,link,address,agent_name,bed_number_smap,number_of_photos_overall_score,number_of_photos_overall_count,number_of_bedroom_photos_score,number_of_bedroom_photos_count,wide_lenses_score,wide_lenses_count,overprocessed_score,overprocessed_count,natural_light_score,natural_light_count,no_carpet_score,no_carpet_count,active
65290522,2 bed flat to rent,3000,https://www.zoopla.co.uk/to-rent/details/65290522/,"Homestead Heights, Tottenham Lane, Crouch End N8",Robert Lehrer Properties,2,1,6,1,2,0.54,6,0.23,6,0.83,6,0.55,6,1
65290609,3 bed semi-detached house to rent,2500,https://www.zoopla.co.uk/to-rent/details/65290609/,"Merton Gardens, Petts Wood, Kent BR5",jdm Estate Agents - Locksbottom Lettings,3,1,7,0,0,0.4442857142857143,7,0.27999999999999997,7,0.797,14,0.4942857142857143,7,1
65290661,3 bed terraced house to rent,2000,https://www.zoopla.co.uk/to-rent/details/65290661/,"Woodcote Drive, Orpington BR6",jdm Estate Agents - Locksbottom Lettings,3,1,8,0,2,0.5,8,0.2325,8,0.899,16,0.825,8,1
65292328,1 bed flat to rent,1800,https://www.zoopla.co.uk/to-rent/details/65292328/,"Tarves Way, London SE10",jdm Estate Agents,1,1,7,1,2,0.52,7,0.26,7,0.76,7,0.75,7,1
65297679,2 bed flat to rent,2250,https://www.zoopla.co.uk/to-rent/details/65297679/,"Jodrell Road, London E3",WJ Meade - Bow,2,1,9,0,1,0.48,9,0.27,9,0.68,9,0.67,9,1
65298939,3 bed terraced house to rent,3000,https://www.zoopla.co.uk/to-rent/details/65298939/,"Mitford Road, Holloway N19",Chestertons - Kentish Town,3,1,9,1,3,0.47777777777777775,9,0.21777777777777776,9,0.727,18,0.5544444444444445,9,1
65299323,3 bed terraced house to rent,3500,https://www.zoopla.co.uk/to-rent/details/65299323/,"Marmion Road, Clapham Common SW11",Chestertons - Battersea Rise,3,1,7,1,3,0.4771428571428572,7,0.5257142857142857,7,0.874,14,0.4014285714285714,7,1
65299587,3 bed flat to rent,4250,https://www.zoopla.co.uk/to-rent/details/65299587/,"Rutland Road, South Hackney, London E9",Savills - Victoria Park Lettings,3,1,18,1,5,0.48888888888888893,18,0.3611111111111111,18,0.752,36,0.5666666666666667,18,1
65299628,2 bed terraced house to rent,2750,https://www.zoopla.co.uk/to-rent/details/65299628/,"Bushberry Road, Homerton, London E9",Savills - Victoria Park Lettings,2,1,8,1,2,0.495,8,0.295,8,0.764,16,0.3775,8,1
65299646,2 bed flat to rent,2800,https://www.zoopla.co.uk/to-rent/details/65299646/,"Gloucester Terrace, London W2",Rocket,2,1,6,1,2,0.53,7,0.29,7,0.61,7,0.66,7,1
65300177,1 bed flat to rent,4333,https://www.zoopla.co.uk/to-rent/details/65300177/,"1 Casson Square, London SE1",LiFE Residential - South Bank,1,1,7,1,2,0.55,8,0.24,8,0.55,8,0.68,8,1
65300288,3 bed maisonette to rent,1800,https://www.zoopla.co.uk/to-rent/details/65300288/,"Hythe Road, Thornton Heath CR7",Stirling Ackroyd - Thornton Heath,3,0,4,0,0,0.41,5,0.23,5,0.76,5,0.63,5,1
65300334,1 bed flat to rent,3000,https://www.zoopla.co.uk/to-rent/details/65300334/,"Decorum Apartments, 3 Wenlock Road N1",Chestertons - Islington,1,1,6,1,1,0.487,6,0.236,6,0.609,12,0.724,6,1
65303591,2 bed maisonette to rent,2100,https://www.zoopla.co.uk/to-rent/details/65303591/,"Ossulton Way, East Finchley N2",Chancellors - Finchley,2,1,5,0,0,0.41,5,0.26,5,0.74,5,0.49,5,1
65303767,2 bed semi-detached house to rent,3402,https://www.zoopla.co.uk/to-rent/details/65303767/,"Teesdale Street, London E2",UnderTheDoormat,2,1,28,1,5,0.48,29,0.34,29,0.78,29,0.58,29,1
65309034,2 bed flat to rent,2200,https://www.zoopla.co.uk/to-rent/details/65309034/,"Bloemfontein Avenue, London W12",Winkworth - Shepherd's Bush,2,1,8,1,3,0.47,8,0.26,8,0.64,8,0.26,8,1
65309205,2 bed terraced house to rent,3000,https://www.zoopla.co.uk/to-rent/details/65309205/,"Bergholt Mews, Camden, London NW1",Martyn Gerrard - Kentish Town - Lettings,2,1,10,1,2,0.49,10,0.37,10,0.89,10,0.38,10,1
65311407,2 bed flat to rent,3000,https://www.zoopla.co.uk/to-rent/details/65311407/,"St. Johns House, 50 Vine Street, London EC3N",Savills - Shoreditch Lettings,2,1,10,1,4,0.41,10,0.38,10,0.45,10,0.46,10,1
65316317,2 bed flat to rent,2300,https://www.zoopla.co.uk/to-rent/details/65316317/,"Rotherhithe Street, London SE16",Maurice Louis,2,1,7,1,3,0.48,7,0.23,7,0.62,7,0.54,7,1
65317461,1 bed flat to rent,2100,https://www.zoopla.co.uk/to-rent/details/65317461/,"New Providence Wharf, 1 Fairmont Avenue, London E14",Vanquish Real Estate,1,1,15,1,2,0.51,15,0.45,15,0.45,15,0.53,15,1
65321798,3 bed terraced house to rent,3250,https://www.zoopla.co.uk/to-rent/details/65321798/,"Chiswick Road, London W4",Stirling Ackroyd - Chiswick,3,1,10,1,4,0.47,10,0.44,10,0.69,10,0.43,10,1
65322284,2 bed flat to rent,3033,https://www.zoopla.co.uk/to-rent/details/65322284/,"Queensway, London W2",Ultra Estates,2,1,9,1,3,0.49,9,0.3,9,0.7,9,0.57,9,1
65323172,2 bed terraced house to rent,4312,https://www.zoopla.co.uk/to-rent/details/65323172/,"Riverpark Court, 22-23 Embankment Gardens SW3",Chestertons - Chelsea,2,1,5,1,2,0.54,6,0.28,6,0.86,6,0.39,6,1
65328114,3 bed flat to rent,3100,https://www.zoopla.co.uk/to-rent/details/65328114/,"Frithville Gardens, London W12",Winkworth - Shepherd's Bush,3,1,9,1,3,0.44,9,0.3,9,0.66,9,0.45,9,1
65328184,1 bed flat to rent,3683,https://www.zoopla.co.uk/to-rent/details/65328184/,"1 Park Drive, London E14",Lionsgate Property,1,1,15,1,1,0.52,15,0.39,15,0.51,15,0.54,15,1
65328878,2 bed flat to rent,4767,https://www.zoopla.co.uk/to-rent/details/65328878/,"1108 Principle Tower, 115 Worship Street, London， EC2A",Citywharf Property Investments Consultancy Limited,2,1,25,1,4,0.53,25,0.42,25,0.61,25,0.59,25,1
65328903,3 bed flat to rent,2700,https://www.zoopla.co.uk/to-rent/details/65328903/,"Venice Corte, 2 Elmira Street, London SE13",Citywharf Property Investments Consultancy Limited,3,1,5,1,3,0.43,5,0.13,5,0.75,5,0.73,5,1
65329676,3 bed terraced house to rent,2250,https://www.zoopla.co.uk/to-rent/details/65329676/,"Chamberlain Lane, Pinner HA5",Robert Cooper & Co,3,1,9,0,2,0.3977777777777778,9,0.21555555555555556,9,0.804,18,0.4177777777777778,9,1
65330428,1 bed flat to rent,1350,https://www.zoopla.co.uk/to-rent/details/65330428/,"Summerhill Way, Mitcham CR4",Stirling Ackroyd - Streatham,1,1,6,1,2,0.43,6,0.39,6,0.77,6,0.54,6,1
