property_id,title,monthly_int,link,address,agent_name,bed_number_smap,number_of_photos_overall_score,number_of_photos_overall_count,number_of_bedroom_photos_score,number_of_bedroom_photos_count,wide_lenses_score,wide_lenses_count,overprocessed_score,overprocessed_count,natural_light_score,natural_light_count,no_carpet_score,no_carpet_count,large_windows_score,large_windows_count,high_ceiling_score,high_ceiling_count,fireplace_score,fireplace_count,active
68283997,2 bed flat to rent,3077,https://www.zoopla.co.uk/to-rent/details/68283997/,"Marsh Wall, London E14",JLL - Canary Wharf,2,1,14,1,5,0.556,14,0.455,14,0.704,28,0.576,14,0.759,13,0.5,13,0.381,4,1
68284002,1 bed flat to rent,1500,https://www.zoopla.co.uk/to-rent/details/68284002/,"Carr Road, London E17",Josh Properties,1,1,6,1,1,0.401,6,0.195,6,0.682,12,0.735,6,0.516,6,0.447,6,-1.0,0,1
68284003,1 bed flat to rent,1975,https://www.zoopla.co.uk/to-rent/details/68284003/,"Sussex Court, Spring Street, Paddington W2",Kravens,1,1,5,1,1,0.536,5,0.225,5,0.678,10,0.709,5,0.583,5,0.505,5,0.5,1,1
68284005,2 bed flat to rent,2150,https://www.zoopla.co.uk/to-rent/details/68284005/,"Queen Elizabeths Close, Stoke Newington N16",Route Estates,2,1,8,1,3,0.46,8,0.241,8,0.734,16,0.736,8,0.636,6,0.446,6,0.258,2,1
68284029,1 bed flat to rent,2102,https://www.zoopla.co.uk/to-rent/details/68284029/,"Old Street, Shoreditch EC1V",PrimeMove Property Consultants,1,1,8,1,1,0.456,8,0.35,8,0.525,16,0.759,8,0.577,8,0.402,8,0.236,3,1
68284032,1 bed flat to rent,1400,https://www.zoopla.co.uk/to-rent/details/68284032/,"Papermill House, South Street, Romford RM1",William Theakston,1,1,6,1,2,0.482,6,0.345,6,0.666,12,0.659,6,0.677,4,0.498,4,0.207,2,1
68284043,2 bed flat to rent,2750,https://www.zoopla.co.uk/to-rent/details/68284043/,"Balcombe Street, London NW1",Rainbow Reid,2,1,7,1,2,0.559,7,0.363,7,0.551,14,0.274,7,0.5,7,0.441,7,-1.0,0,1
68284044,1 bed semi-detached house to rent,1550,https://www.zoopla.co.uk/to-rent/details/68284044/,"Garratt Lane, London SW18",Maalems Ltd,1,0,4,1,1,0.447,5,0.105,5,0.876,10,0.642,5,0.633,3,0.452,3,0.16,1,1
68284060,1 bed flat to rent,3090,https://www.zoopla.co.uk/to-rent/details/68284060/,"Waterloo, London SE1",Blueground,1,1,15,1,4,0.477,16,0.555,16,0.546,32,0.424,16,0.548,11,0.468,11,0.441,4,1
68284061,2 bed flat to rent,4190,https://www.zoopla.co.uk/to-rent/details/68284061/,"Canary Wharf, London E14",Blueground,2,1,31,1,6,0.517,32,0.662,32,0.631,64,0.518,32,0.671,21,0.424,21,0.312,8,1
68284062,2 bed flat to rent,5490,https://www.zoopla.co.uk/to-rent/details/68284062/,"Paddington, London W2",Blueground,2,1,17,1,5,0.469,18,0.605,18,0.657,36,0.466,18,0.592,12,0.506,12,0.44,3,1
68284063,2 bed flat to rent,3190,https://www.zoopla.co.uk/to-rent/details/68284063/,"Wapping, London E1",Blueground,2,1,14,1,6,0.48,15,0.581,15,0.756,30,0.436,15,0.646,13,0.408,13,0.522,3,1
68284064,3 bed flat to rent,7107,https://www.zoopla.co.uk/to-rent/details/68284064/,"Merchant Square East, London W2",Breteuil,3,1,10,1,4,0.487,10,0.284,10,0.717,20,0.571,10,0.751,10,0.432,10,0.233,4,1
68284065,1 bed flat to rent,2950,https://www.zoopla.co.uk/to-rent/details/68284065/,"Waterloo, London SE1",Blueground,1,1,11,1,3,0.472,12,0.612,12,0.617,24,0.576,12,0.591,8,0.404,8,0.283,3,1
68284067,2 bed flat to rent,4030,https://www.zoopla.co.uk/to-rent/details/68284067/,"Bermondsey, London SE1",Blueground,2,1,13,1,5,0.494,15,0.625,15,0.662,30,0.59,15,0.621,10,0.462,10,0.364,5,1
68284074,1 bed flat to rent,2870,https://www.zoopla.co.uk/to-rent/details/68284074/,"Vauxhall, London SW8",Blueground,1,1,20,1,3,0.462,21,0.608,21,0.634,42,0.492,21,0.631,17,0.397,17,0.447,4,1
68284075,1 bed flat to rent,3470,https://www.zoopla.co.uk/to-rent/details/68284075/,"Marylebone, London W1H",Blueground,1,1,10,1,3,0.441,11,0.6,11,0.522,22,0.528,11,0.472,8,0.507,8,0.447,2,1
68284079,1 bed flat to rent,2925,https://www.zoopla.co.uk/to-rent/details/68284079/,"Cathcart Road, London SW10",Susan Metcalfe Residential,1,1,7,1,1,0.415,7,0.251,7,0.503,14,0.77,7,0.494,7,0.348,7,0.34,3,1
68284090,2 bed flat to rent,2500,https://www.zoopla.co.uk/to-rent/details/68284090/,"High Trees, 9 Queensmere Road, London SW19",Ash Ponsonby Estate Agents,2,1,26,0,0,0.465,26,0.227,26,0.636,52,0.774,26,0.597,26,0.452,26,0.129,3,1
68284091,2 bed flat to rent,1800,https://www.zoopla.co.uk/to-rent/details/68284091/,"Otter Way, West Drayton UB7",R Whitley & Co,2,1,8,0,0,0.443,8,0.285,8,0.701,16,0.869,8,0.654,7,0.457,7,0.17,4,1
68284105,3 bed maisonette to rent,3000,https://www.zoopla.co.uk/to-rent/details/68284105/,"Kiln Place, London NW5",Leonard Leese Ltd,3,1,10,1,5,0.465,11,0.328,11,0.64,22,0.471,11,0.495,10,0.513,10,0.201,2,1
68284125,2 bed flat to rent,2700,https://www.zoopla.co.uk/to-rent/details/68284125/,"Stephendale Road, London SW6",Harding Green,2,1,8,0,1,0.452,8,0.355,8,0.588,16,0.627,8,0.467,8,0.492,8,-1.0,0,1
68284138,1 bed flat to rent,1300,https://www.zoopla.co.uk/to-rent/details/68284138/,"The Residences, Edridge Road, Croydon CR0",Right Now Residential,1,1,7,1,2,0.461,7,0.204,7,0.609,14,0.699,7,0.6,7,0.408,7,-1.0,0,1
